epoch,train_loss,train_acc,val_loss,val_acc
1,334.17363627472815,0.0,320.66387939453125,0.0
2,316.00590488366913,0.0,308.2584228515625,0.0
3,304.10623615108733,0.0,298.3371887207031,0.0
4,294.4720446491799,0.0,289.7091369628906,0.0
5,286.1004883169431,0.0,282.0635070800781,0.0
6,278.58250418322825,0.0,275.1098327636719,0.0
7,271.7112410695929,0.0,268.5718688964844,0.0
8,265.3682814927129,0.0,262.50201416015625,0.0
