snr_db,fer_uncoded,ber_uncoded,fer_scl,ber_scl,fer_dl,ber_dl
4.500,2.873333e-01,8.466667e-03,2.220000e-01,3.777083e-02,1.786667e-01,6.313542e-02
5.000,2.166667e-01,6.183333e-03,1.040000e-01,1.834375e-02,8.733333e-02,3.069792e-02
5.500,1.360000e-01,3.650000e-03,5.400000e-02,9.010417e-03,3.933333e-02,1.336458e-02
6.000,8.733333e-02,2.283333e-03,1.200000e-02,2.833333e-03,8.666667e-03,3.093750e-03
